	PLAYER	2018/19 	2018/19(*)
448.	Ryan Broekhoff	$838,464	$852,285
448.	Brad Wanamaker	$838,464	$852,285
462.	Lorenzo Brown	$800,000	$813,187
463.	Davon Reed	$752,250	$764,650
464.	Isaiah Canaan	$744,671	$756,945
465.	Isaiah Whitehead	$726,390	$738,364
466.	Bruno Caboclo	$705,361	$716,988
467.	Gary Clark	$674,122	$685,234
468.	James Nunnally	$663,255	$674,187
469.	Kalin Lucas	$648,008	$658,690
470.	John Jenkins	$585,809	$595,465
471.	Deonte Burton	$500,000	$508,242
472.	Andrew Bogut	$486,892	$494,918
473.	Malcolm Miller	$457,418	$464,958
473.	Chris Boucher	$457,418	$464,958
475.	Edmond Sumner	$449,794	$457,208
476.	Yante Maten	$385,000	$391,346
477.	Andrew Harrison	$354,500	$360,342
478.	Eric Moreland	$309,859	$314,966
479.	Nick Young	$284,020	$288,702
480.	Okaro White	$247,827	$251,912
480.	Danuel House	$247,827	$251,912
482.	Jaylen Adams	$236,854	$240,758
483.	Ben Moore	$222,099	$225,759
484.	Quincy Acy	$213,948	$217,474
484.	Tyler Zeller	$213,948	$217,474
486.	Jimmer Fredette	$198,579	$201,852
486.	Terrence Jones	$198,579	$201,852
488.	Dairis Bertans	$194,220	$197,421
489.	Walter Lemon Jr	$176,250	$179,154
490.	Demetrius Jackson	$170,107	$172,910
491.	BJ Johnson	$142,111	$144,452
492.	Chris Chiozza	$137,374	$139,638
493.	Johnathan Williams	$127,250	$129,347
494.	Cam Reynolds	$108,953	$110,749
495.	Donatas Motiejunas	$99,289	$100,925
496.	Emanuel Terry	$94,740	$96,300
497.	Justin Bibbs	$92,159	$93,678
498.	Gary Payton II	$85,457	$86,865
498.	JaKarr Sampson	$85,457	$86,865
500.	Jordan McRae	$77,250	$78,523
500.	Devin Robinson	$77,250	$78,523
500.	Tyler Cavanaugh	$77,250	$78,523
500.	Naz Long	$77,250	$78,523
500.	Jordan Loyd	$77,250	$78,523
500.	Drew Eubanks	$77,250	$78,523
500.	Troy Williams	$77,250	$78,523
500.	George King	$77,250	$78,523
500.	Haywood Highsmith	$77,250	$78,523
500.	Shake Milton	$77,250	$78,523
500.	Amile Jefferson	$77,250	$78,523
500.	Troy Caupain	$77,250	$78,523
500.	Donte Grantham	$77,250	$78,523
500.	Tyler Davis	$77,250	$78,523
500.	Kadeem Allen	$77,250	$78,523
500.	Isaiah Hicks	$77,250	$78,523
500.	Trevon Bluiett	$77,250	$78,523
500.	CJ Williams	$77,250	$78,523
500.	Jared Terrell	$77,250	$78,523
500.	Bonzie Colson	$77,250	$78,523
500.	Jaylen Morris	$77,250	$78,523
500.	Duncan Robinson	$77,250	$78,523
500.	Julian Washburn	$77,250	$78,523
500.	Jarnell Stokes	$77,250	$78,523
500.	DJ Stephens	$77,250	$78,523
500.	Yuta Watanabe	$77,250	$78,523
500.	Alex Caruso	$77,250	$78,523
500.	Johnathan Motley	$77,250	$78,523
